xi,exactStartup,N,sqrtN,fitRate,h,dt,nsteps,relerr,initialMass,finalMass,exactFinalMass,sourceIntegral,massRelError,balanceRelResidual,massCorrectionSteps,massCorrectionMaxAbs,massCorrectionMaxRelative,massCorrectionTotalAbs,massCorrectionFinalAbs,massCorrectionMaxPointShift,normalRMSAngle,normalMaxAngle,normalControlPointCount,normalControlPointFraction,normalControlFillDistance,finalAbsL2Error,finalRelL2Error,finalAbsLInfError,finalRelLInfError,maxAbsH1SemiError,maxRelH1SemiError,maxAbsH2SemiError,maxRelH2SemiError,maxAbsL2Error,maxRelL2Error,timeAbsL2L2Error,timeRelL2L2Error,numRearrangements,numPredictiveRearrangements,numThresholdRearrangements,numFixedRearrangements,initialQuality,finalQuality,maxQuality,localRate
2,1,576,24,2.80382857879945,0.144788758122701,0.0133333333333333,9,3.11160611487484e-05,9.66010968122917,8.68552218284483,8.68552218284483,-0.974587498384338,2.04519291069087e-16,1.67034078112303e-16,7,2.36063039871226e-06,2.53138131481576e-07,1.50608540181452e-05,2.00793141580391e-06,1.94569909116704e-07,0,0,NaN,NaN,NaN,7.10828826316944e-05,2.83286426818353e-05,9.80237069410084e-05,0.000109022828985264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.37748932269442,1.37375735288401,1.37748932269442,NaN
2,1,1024,32,2.80382857879945,0.108591554545951,0.0109090909090909,11,1.34780757641782e-05,9.66011179166019,8.68552397588702,8.68552397588702,-0.974587815773168,2.04519248848062e-16,1.67034039979712e-16,9,2.25182057889128e-07,2.522189726136e-08,1.93309132079378e-06,2.19065393380902e-07,1.85759219361626e-08,0,0,NaN,NaN,NaN,3.08993301849903e-05,1.23143027048152e-05,4.1219320757846e-05,4.58486306960793e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.34077400212744,1.33156410286738,1.34077400212744,2.90827784432084
2,1,1600,40,2.80382857879945,0.0868732465852889,0.00923076923076923,13,7.44978986235518e-06,9.66011217004307,8.68552429003197,8.68552429003198,-0.974587880011084,8.18076965803389e-16,6.68136132110733e-16,11,1.57040263459862e-07,1.66756499275554e-08,1.57997811811583e-06,1.34787045524831e-07,1.29623708361156e-08,0,0,NaN,NaN,NaN,1.70736710305769e-05,6.8043672342235e-06,2.24155791640479e-05,2.4929429227228e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.41620656412546,1.40634229131482,1.41620656412546,2.65693814102221
2,1,2500,50,2.80382857879945,0.0694985996583252,0.008,15,3.89299471346314e-06,9.66011458234284,8.68552641751477,8.68552641751477,-0.974588164828063,2.04519191354728e-16,1.670339906654e-16,13,1.96602663038448e-08,2.10823371002585e-09,2.3717342223506e-07,1.78192518518472e-08,1.6204555946023e-09,0,0,NaN,NaN,NaN,8.94233349646575e-06,3.56378630678441e-06,1.19364159880675e-05,1.32755912854618e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.36955297531176,1.37200105587049,1.37200105587049,2.90847398964593
2,1,3600,60,2.80382857879945,0.0579154991986767,0.00705882352941176,17,2.25182124965797e-06,9.66011015360017,8.68552245698642,8.68552245698642,-0.974587696613758,6.13557853841502e-16,5.01102202738515e-16,15,1.61275490739854e-08,1.74386203512302e-09,2.25148561128208e-07,1.4968694728168e-08,1.32783109868475e-09,0,0,NaN,NaN,NaN,5.19751976532199e-06,2.07136741903638e-06,6.60194259727298e-06,7.3419414716037e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.43748412074133,1.43220545752701,1.43748412074133,3.00260353425143
2,1,4900,70,2.80382857879945,0.0496418564231163,0.00666666666666667,18,1.58929590877583e-06,9.66011873966541,8.68553015937086,8.68553015937086,-0.974588580294547,6.13557309734419e-16,5.01101756528718e-16,16,1.35461419858984e-08,1.4743926192282e-09,2.06941866309762e-07,1.27039054831357e-08,1.11913853501613e-09,0,0,NaN,NaN,NaN,3.65034137464866e-06,1.45476927545091e-06,5.10608709269889e-06,5.67886157306106e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.43509577797234,1.43334612538497,1.43509577797234,2.26043919164728
4,1,576,24,4.77697096036592,0.144788758122701,0.00375,32,1.31114976209379e-05,9.66010968122917,8.68552218284483,8.68552218284483,-0.974587498384338,0,0,30,5.24869312457099e-07,5.50700842223567e-08,1.38292928255623e-05,3.95489708537866e-07,4.33887865761619e-08,0,0,NaN,NaN,NaN,3.07356722163091e-05,1.22490794346825e-05,3.62204695595336e-05,4.02847248057191e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.37748932269442,1.37375735288401,1.37748932269442,NaN
4,1,1024,32,4.77697096036592,0.108591554545951,0.0025531914893617,47,2.45013440819914e-06,9.66011179166019,8.68552397588703,8.68552397588702,-0.974587815773168,4.09038497696125e-16,3.34068079959424e-16,45,2.98157107891939e-08,3.11230767863004e-09,1.14508916659872e-06,2.19378968324691e-08,2.46690679943571e-09,0,0,NaN,NaN,NaN,5.73123797263481e-06,2.28406890524247e-06,7.08283899975015e-06,7.8783071532667e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.34077400212744,1.33156410286738,1.34077400212744,5.83055410527457
4,1,1600,40,4.77697096036592,0.0868732465852889,0.0019047619047619,63,8.55539600143793e-07,9.66011217004307,8.68552429003198,8.68552429003198,-0.974587880011084,4.09038482901695e-16,3.34068066055367e-16,61,4.99076513449381e-09,5.19239476808176e-10,2.72086682073791e-07,4.2344652229076e-09,4.13024775388864e-10,0,0,NaN,NaN,NaN,2.01169825234668e-06,8.01721764985293e-07,1.98325627087659e-06,2.20567340609127e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.41620656412546,1.40634229131482,1.41620656412546,4.71519761702328
4,1,2500,50,4.77697096036592,0.0694985996583252,0.00142857142857143,84,2.4913332768664e-07,9.66011458234284,8.68552641751478,8.68552641751477,-0.974588164828063,2.04519191354728e-16,1.670339906654e-16,82,1.84288140303579e-10,1.97530360155928e-11,1.02548831648619e-08,1.373106073288e-10,1.524083951473e-11,0,0,NaN,NaN,NaN,5.9204159591269e-07,2.35946213971367e-07,6.63444580717432e-07,7.37878028292909e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.36955297531176,1.37200105587049,1.37200105587049,5.52892682001223
4,1,3600,60,4.77697096036592,0.0579154991986767,0.00111111111111111,108,1.50769073877881e-07,9.66011015360017,8.68552245698641,8.68552245698642,-0.974587696613758,6.13557853841502e-16,5.01102202738515e-16,106,1.97205807239698e-10,2.04743774478612e-11,1.77541021884053e-08,1.34386723971147e-10,1.63249938675611e-11,0,0,NaN,NaN,NaN,3.50347147745076e-07,1.39623839823246e-07,3.40137767063098e-07,3.78263146227713e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.43748412074133,1.43220545752701,1.43748412074133,2.75468702561421
4,1,4900,70,4.77697096036592,0.0496418564231163,0.000909090909090909,132,7.63123388101601e-08,9.66011873966541,8.68553015937087,8.68553015937086,-0.974588580294547,2.04519103244806e-16,1.67033918842906e-16,130,4.01296773588911e-11,4.26492710098756e-12,4.44638814656173e-09,2.71089817260872e-11,3.32223766006326e-12,0,0,NaN,NaN,NaN,1.77396052162047e-07,7.06975868240467e-08,2.00765818525461e-07,2.23286691219708e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.43509577797234,1.43334612538497,1.43509577797234,4.41720213208214
