xi,exactStartup,N,sqrtN,fitRate,h,dt,nsteps,relerr,initialMass,finalMass,exactFinalMass,sourceIntegral,massRelError,balanceRelResidual,massCorrectionSteps,massCorrectionMaxAbs,massCorrectionMaxRelative,massCorrectionTotalAbs,massCorrectionFinalAbs,massCorrectionMaxPointShift,normalRMSAngle,normalMaxAngle,normalControlPointCount,normalControlPointFraction,normalControlFillDistance,finalAbsL2Error,finalRelL2Error,finalAbsLInfError,finalRelLInfError,maxAbsH1SemiError,maxRelH1SemiError,maxAbsH2SemiError,maxRelH2SemiError,maxAbsL2Error,maxRelL2Error,timeAbsL2L2Error,timeRelL2L2Error,numRearrangements,numPredictiveRearrangements,numThresholdRearrangements,numFixedRearrangements,initialQuality,finalQuality,maxQuality,localRate
2,1,576,24,3.35309679393791,0.197133374468377,0.015,8,0.000638757802628432,18.3258271810764,16.3468630180095,16.3468630180095,-1.97896416306691,0,0,8,5.63283681209725e-05,3.25345296282166e-06,0.000282849388902662,3.49733778790551e-05,2.50824389764335e-06,0,0,NaN,NaN,NaN,0.0022198585284777,0.000639020921087022,0.00154584385190271,0.00175994378318992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,3.01510392864269,3.0191869570003,3.0191869570003,NaN
2,1,1024,32,3.35309679393791,0.147850030851282,0.0133333333333333,9,0.000113719421577611,18.325187366466,16.3462995828685,16.3462995828685,-1.9788877835975,0,0,9,1.05292041823191e-05,6.12049372184676e-07,6.54134106383708e-05,8.97948625677714e-06,4.68702122958608e-07,0,0,NaN,NaN,NaN,0.000395167289340589,0.000113758136706185,0.000503277907585531,0.000572611306635943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2.28679659371153,2.28995759359793,2.28995759359793,5.9989527390568
2,1,1600,40,3.35309679393791,0.118280024681027,0.012,10,0.000106079844964329,18.3251566286858,16.3462723880208,16.3462723880208,-1.97888424066499,2.17340907729158e-16,3.4995139161322e-16,11,3.74033025885012e-05,2.13154004736767e-06,0.000285910743603068,3.48428084890884e-05,1.66758170244444e-06,0,0,NaN,NaN,NaN,0.000368879716411474,0.000106190605187315,0.000279193032033942,0.000317562657610632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,2.96244406246118,2.96646945909879,2.96646945909879,0.311647524869145
2,1,2500,50,3.35309679393791,0.0946240197448215,0.01,12,2.70308657201327e-05,18.3252248575853,16.3463324533844,16.3463324533844,-1.97889240420094,4.34680218199641e-16,3.49950074952231e-16,15,5.96542253106236e-06,3.40591142365645e-07,5.58538135351228e-05,5.56741794000004e-06,2.66047135481789e-07,0,0,NaN,NaN,NaN,9.39649039821732e-05,2.70499336639981e-05,0.000104516902035945,0.000118889592308036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2.86218303808054,2.86656271325808,2.86656271325808,6.12705439610211
2,1,3600,60,3.35309679393791,0.0788533497873513,0.00857142857142857,14,3.98293585687114e-05,18.3252136280585,16.3463230254782,16.3463230254782,-1.97889060258029,2.17340234452914e-16,1.74975149774865e-16,16,1.13353985398135e-05,6.33771250305446e-07,0.000128610122924755,1.02718313179651e-05,5.05656848033952e-07,0,0,NaN,NaN,NaN,0.000138519386011156,3.98759447041488e-05,0.00011038708498623,0.000125569478181165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2.2321636698947,2.23538846420697,2.23538846420697,-2.12605087274176
2,1,4900,70,3.35309679393791,0.0675885855320158,0.008,15,1.10038169967521e-05,18.3252311359369,16.346337934503,16.346337934503,-1.97889320143393,4.34680072446271e-16,3.49949953001572e-16,15,2.27140477093712e-06,1.28448840615431e-07,2.79203968460706e-05,2.02025095319414e-06,1.01333887095458e-07,0,0,NaN,NaN,NaN,3.82587974640446e-05,1.10136612494278e-05,3.3088181063845e-05,3.76357407525135e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,3.0028191171322,3.00701967849896,3.00701967849896,8.34483559830955
4,1,1024,32,5.60989525035876,0.147850030851282,0.00387096774193548,31,0.000508603803004309,18.325187366466,16.3462995828685,16.3462995828685,-1.9788877835975,2.17340546145616e-16,1.74975400383572e-16,36,7.06497348907931e-05,3.89778967787316e-06,0.00177105785172316,5.67758791945039e-05,3.15408717535887e-06,0,0,NaN,NaN,NaN,0.00176621050675371,0.000508444959132277,0.00185854763644877,0.00211458793344949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,0,4,0,2.28679659371153,2.28995759359793,2.28995759359793,NaN
4,1,1600,40,5.60989525035876,0.118280024681027,0.00285714285714286,42,9.07041647637989e-05,18.3251566286858,16.3462723880208,16.3462723880208,-1.97888424066499,2.17340907729158e-16,3.4995139161322e-16,48,2.14217915726067e-05,1.19736119406573e-06,0.000809738040292274,1.95667191142945e-05,9.56522131077196e-07,0,0,NaN,NaN,NaN,0.000315006341812983,9.0681901407801e-05,0.000306994128955851,0.000349184471947097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,0,5,0,2.96244406246118,2.96646945909879,2.96646945909879,7.72626430888745
4,1,2500,50,5.60989525035876,0.0946240197448215,0.00214285714285714,56,3.13911086915462e-05,18.3252248575853,16.3463324533844,16.3463324533844,-1.97889240420094,4.34680218199641e-16,3.49950074952231e-16,71,3.89091961494614e-06,2.16627403501938e-07,0.000199974292733884,3.54106355615613e-06,1.73758274040521e-07,0,0,NaN,NaN,NaN,0.000109035005617449,3.13882050000838e-05,9.19702783547249e-05,0.000104617613850527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,0,7,0,2.86218303808054,2.86656271325808,2.86656271325808,4.75513891261657
4,1,3600,60,5.60989525035876,0.0788533497873513,0.00169014084507042,71,9.70098421023635e-06,18.3252136280585,16.3463230254782,16.3463230254782,-1.97889060258029,0,0,91,1.46451531790603e-06,8.1542070598854e-08,9.58725320145959e-05,1.33291302617522e-06,6.54065960503879e-08,0,0,NaN,NaN,NaN,3.36895291144964e-05,9.69829450420951e-06,2.90468655339549e-05,3.30419065631832e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,9,0,2.2321636698947,2.23538846420697,2.23538846420697,6.44080362981235
