xi,exactStartup,N,sqrtN,fitRate,h,dt,nsteps,relerr,initialMass,finalMass,exactFinalMass,sourceIntegral,massRelError,balanceRelResidual,massCorrectionSteps,massCorrectionMaxAbs,massCorrectionMaxRelative,massCorrectionTotalAbs,massCorrectionFinalAbs,massCorrectionMaxPointShift,normalRMSAngle,normalMaxAngle,normalControlPointCount,normalControlPointFraction,normalControlFillDistance,finalAbsL2Error,finalRelL2Error,finalAbsLInfError,finalRelLInfError,maxAbsH1SemiError,maxRelH1SemiError,maxAbsH2SemiError,maxRelH2SemiError,maxAbsL2Error,maxRelL2Error,timeAbsL2L2Error,timeRelL2L2Error,numRearrangements,numPredictiveRearrangements,numThresholdRearrangements,numFixedRearrangements,initialQuality,finalQuality,maxQuality,localRate
2,1,576,24,2.92572587199217,0.14770448757546,0.0133333333333333,9,3.52138822467621e-05,10.0530762821111,10.0530762821111,10.0530762821111,0,5.30093512538398e-16,5.30093512538398e-16,8,2.09503171966219e-06,2.08397077757201e-07,1.46625883559182e-05,2.09483335389393e-06,1.60077460407936e-07,0,0,NaN,NaN,NaN,9.46462971240542e-05,3.52138822467621e-05,5.1249236782458e-05,5.77987749539704e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13632075608609,1.13632075608609,1.13632075608609,NaN
2,1,1024,32,2.92572587199217,0.110778365681595,0.0109090909090909,11,1.57207488278879e-05,10.0530987639686,10.0530987639686,10.0530987639686,0,0,0,10,7.16257661181885e-07,7.12474509599994e-08,6.44531417393068e-06,7.16022867663924e-07,5.51450164265713e-08,0,0,NaN,NaN,NaN,4.22536212719545e-05,1.57207488278879e-05,2.10326131625527e-05,2.37182429295137e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.12706356289414,1.12706356289414,1.12706356289414,2.80329934627054
2,1,1600,40,2.92572587199217,0.0886226925452756,0.00923076923076923,13,8.2422121827161e-06,10.053098525458,10.053098525458,10.053098525458,0,3.53394893107211e-16,1.76697446553605e-16,13,3.21399802771793e-07,3.19702231066267e-08,3.53529837937572e-06,3.21399802771793e-07,2.48734845238328e-08,0,0,NaN,NaN,NaN,2.21530989412212e-05,8.24221218271609e-06,1.11605458320563e-05,1.25887453656665e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13916468430231,1.13916468430231,1.13916468430231,2.89370963560947
2,1,2500,50,2.92572587199217,0.0708981540362212,0.008,15,4.32541018410436e-06,10.0530953580512,10.0530953580512,10.0530953580512,0,0,0,14,1.402154001795e-07,1.39474853451187e-08,1.82268568238442e-06,1.40201919407446e-07,1.08933832754235e-08,0,0,NaN,NaN,NaN,1.16256664395266e-05,4.32541018410436e-06,5.85937221575517e-06,6.60698183393192e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13477644527835,1.13477644527836,1.13477644527836,2.8894485040095
2,1,3600,60,2.92572587199217,0.0590817950301832,0.0075,16,2.52394479364366e-06,10.0530959005472,10.0530959005471,10.0530959005472,-1.77635683940025e-15,1.41357994152115e-15,1.23688244883101e-15,14,8.41637515236471e-08,8.37192366970919e-09,1.17827894818845e-06,8.41637515236471e-08,6.5482702106481e-09,0,0,NaN,NaN,NaN,6.78375938384891e-06,2.52394479364366e-06,3.45780067989576e-06,3.89892958435021e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.14443065326957,1.14443065326957,1.14443065326957,2.95458153024111
2,1,4900,70,2.92572587199217,0.0506415385973011,0.00666666666666667,18,1.50957443985363e-06,10.0531001135769,10.053100113577,10.0531001135769,1.77635683940025e-15,5.30092255920511e-16,5.30092255920511e-16,17,4.42967760250212e-08,4.40628020457067e-09,7.08705345076055e-07,4.42967760250212e-08,3.45467475894327e-09,0,0,NaN,NaN,NaN,4.05737639053766e-06,1.50957443985363e-06,1.96148468023516e-06,2.21170335255681e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.14069871390097,1.14069871390097,1.14069871390097,3.33436926295448
4,1,576,24,4.06493357986178,0.14770448757546,0.00387096774193548,31,3.93502500591331e-07,10.0530762821111,10.0530762821111,10.0530762821111,0,3.53395675025599e-16,3.53395675025599e-16,30,2.5092639077684e-09,2.49601598292205e-10,7.25552045111044e-08,2.5092639077684e-09,1.95618361737793e-10,0,0,NaN,NaN,NaN,1.05763841456163e-06,3.93502500591331e-07,1.31215803444995e-06,1.47984890505094e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13632075608609,1.13632075608609,1.13632075608609,NaN
4,1,1024,32,4.06493357986178,0.110778365681595,0.00260869565217391,46,2.92425177747505e-07,10.0530987639686,10.0530987639686,10.0530987639686,0,1.76697442361444e-16,1.76697442361444e-16,44,5.10315345536583e-10,5.07619946364804e-11,2.21494147467638e-08,5.00694596894391e-10,4.02930309730461e-11,0,0,NaN,NaN,NaN,7.85969093851815e-07,2.92425177747505e-07,4.54374464498031e-07,5.12393008260131e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.12706356289414,1.12706356289414,1.12706356289414,1.03196764634579
4,1,1600,40,4.06493357986178,0.0886226925452756,0.0019672131147541,61,3.26253910662679e-08,10.053098525458,10.053098525458,10.053098525458,0,3.53394893107211e-16,5.30092339660816e-16,59,1.37468703087507e-10,1.36742619938904e-11,8.10221578717574e-09,1.37220013129991e-10,1.08087131114817e-11,0,0,NaN,NaN,NaN,8.7689263545372e-08,3.26253910662679e-08,7.45522771294915e-08,8.40926283836473e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13916468430231,1.13916468430231,1.13916468430231,9.82828303208065
4,1,2500,50,4.06493357986178,0.0708981540362212,0.00146341463414634,82,4.24431290848468e-08,10.0530953580512,10.0530953580512,10.0530953580512,0,0,0,80,3.72519792790627e-11,3.70552331916646e-12,2.97819902073115e-09,3.72324393538292e-11,2.94298800334097e-12,0,0,NaN,NaN,NaN,1.14076963892008e-07,4.24431290848468e-08,6.42181985366364e-08,7.2411933482998e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13477644527835,1.13477644527836,1.13477644527836,-1.17894596019758
4,1,3600,60,4.06493357986178,0.0590817950301832,0.00114285714285714,105,8.63760356815998e-09,10.0530959005472,10.0530959005471,10.0530959005472,-1.77635683940025e-15,7.06789970760577e-16,5.30092478070433e-16,103,1.40634170975318e-11,1.39891404962787e-12,1.44600065254963e-09,1.40207845333862e-11,1.11459635219059e-12,0,0,NaN,NaN,NaN,2.32158105862853e-08,8.63760356815996e-09,1.93443603357935e-08,2.18122170089427e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.14443065326957,1.14443065326957,1.14443065326957,8.73204402754557
4,1,4900,70,4.06493357986178,0.0506415385973011,0.000930232558139535,129,6.90134628410741e-09,10.0531001135769,10.053100113577,10.0531001135769,1.77635683940025e-15,7.06789674560682e-16,7.06789674560682e-16,128,5.6576965334898e-12,5.62781278368943e-13,7.14130976575689e-10,5.62216939670179e-12,4.45446392869175e-13,0,0,NaN,NaN,NaN,1.85491743479554e-08,6.9013462841074e-09,1.36840979658714e-08,1.54297230321499e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.14069871390097,1.14069871390097,1.14069871390098,1.45577478859428
6,1,576,24,7.18080774539958,0.14770448757546,0.00108108108108108,111,2.47715306725163e-07,10.0530762821111,10.0530762821111,10.0530762821111,0,1.76697837512799e-16,1.76697837512799e-16,109,3.50706130802791e-11,3.48854540600303e-12,3.669001102935e-09,3.32587291040909e-11,2.66290155289039e-12,0,0,NaN,NaN,NaN,6.65798117861367e-07,2.47715306725163e-07,6.45753270300808e-07,7.28279098171513e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13632075608609,1.13632075608609,1.13632075608609,NaN
