xi,exactStartup,N,sqrtN,fitRate,h,dt,nsteps,relerr,initialMass,finalMass,exactFinalMass,sourceIntegral,massRelError,balanceRelResidual,massCorrectionSteps,massCorrectionMaxAbs,massCorrectionMaxRelative,massCorrectionTotalAbs,massCorrectionFinalAbs,massCorrectionMaxPointShift,normalRMSAngle,normalMaxAngle,normalControlPointCount,normalControlPointFraction,normalControlFillDistance,finalAbsL2Error,finalRelL2Error,finalAbsLInfError,finalRelLInfError,maxAbsH1SemiError,maxRelH1SemiError,maxAbsH2SemiError,maxRelH2SemiError,maxAbsL2Error,maxRelL2Error,timeAbsL2L2Error,timeRelL2L2Error,numRearrangements,numPredictiveRearrangements,numThresholdRearrangements,numFixedRearrangements,initialQuality,finalQuality,maxQuality,localRate
2,1,576,24,2.79676321255193,0.206786282605644,0.0171428571428571,7,9.36381122804098e-05,19.7040295129378,13.1960926335917,13.1960926335917,-6.5079368793461,1.34612334781463e-16,0,5,3.09494982175806e-06,1.84752095095975e-07,8.53612558948669e-06,2.05598037439358e-06,1.40392342804529e-07,0,0,NaN,NaN,NaN,0.000288347080518991,9.36381122804098e-05,0.000138279654587681,0.000155951486070946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13632075608609,1.13632075608609,1.13632075608609,NaN
2,1,1024,32,2.79676321255193,0.155089711954233,0.0133333333333333,9,4.28149562081371e-05,19.7040735773785,13.1961221442276,13.1961221442276,-6.50795143315085,1.3461203374639e-16,6.77687755404892e-17,8,1.3833263583507e-06,1.0482824751329e-07,4.46763997530297e-06,1.3833263583507e-06,7.43794688651438e-08,0,0,NaN,NaN,NaN,0.000131843705134346,4.28149562081371e-05,5.8517564275995e-05,6.59896035939374e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.12706356289414,1.12706356289414,1.12706356289414,2.72019035026837
2,1,1600,40,2.79676321255193,0.124071769563386,0.012,10,2.37394963860039e-05,19.7040731098977,13.1961218311486,13.1961218311486,-6.50795127874916,4.03836110820213e-16,1.35537554296618e-16,9,1.47137633277339e-06,1.11500662967532e-07,5.37376664588862e-06,1.47137633277339e-06,7.91137893612536e-08,0,0,NaN,NaN,NaN,7.31030314795407e-05,2.37394963860039e-05,3.21307715626107e-05,3.62425017280342e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13916468430231,1.13916468430231,1.13916468430231,2.64290546136701
2,1,2500,50,2.79676321255193,0.0992574156507093,0.01,12,1.209616583675e-05,19.7040669017803,13.1961176734765,13.1961176734765,-6.50794922830376,1.34612079351993e-16,6.77687985000701e-17,11,8.47156401917459e-07,6.41973967555775e-08,4.32978390918493e-06,8.47156401917459e-07,4.55503813976717e-08,0,0,NaN,NaN,NaN,3.72487309243186e-05,1.209616583675e-05,1.64901713884946e-05,1.85941870204547e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13477644527835,1.13477644527836,1.13477644527836,3.02160489004317
2,1,3600,60,2.79676321255193,0.0827145130422571,0.00923076923076923,13,7.75228000657133e-06,19.7040679650724,13.1961183855797,13.1961183855797,-6.50794957949277,2.69224144175821e-16,2.03306384529171e-16,12,7.11008432574545e-07,5.38801192744311e-08,4.45513570923595e-06,7.11008432574545e-07,3.82299008865746e-08,0,0,NaN,NaN,NaN,2.38722428311727e-05,7.75228000657133e-06,1.04477857280072e-05,1.17806619400362e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.14443065326957,1.14443065326957,1.14443065326957,2.44020258887911
2,1,4900,70,2.79676321255193,0.0708981540362217,0.008,15,4.56165620288149e-06,19.7040762226108,13.1961239157806,13.1961239157806,-6.50795230683027,2.69224031349993e-16,1.35537532885337e-16,13,4.31275287482435e-07,3.2681967086312e-08,3.26551079687931e-06,4.31275287482435e-07,2.31890519716915e-08,0,0,NaN,NaN,NaN,1.40470944849167e-05,4.56165620288149e-06,6.27138555442386e-06,7.07140086061375e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.14069871390098,1.14069871390097,1.14069871390098,3.44014852946887
4,1,576,24,4.87568626308846,0.206786282605644,0.006,20,1.07746301505538e-06,19.7040295129378,13.1960926335917,13.1960926335917,-6.5079368793461,4.03837004344389e-16,1.35537854185801e-16,18,1.80636376967414e-07,1.36886260185525e-08,2.18363055459747e-06,1.80636376967414e-07,9.7125582083023e-09,0,0,NaN,NaN,NaN,3.31791518637233e-06,1.07746301505538e-06,4.47625613808622e-06,5.04831169017783e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13632075608609,1.13632075608609,1.13632075608609,NaN
4,1,1024,32,4.87568626308846,0.155089711954233,0.00413793103448276,29,2.97469147293048e-07,19.7040735773785,13.1961221442276,13.1961221442276,-6.50795143315085,1.3461203374639e-16,6.77687755404892e-17,29,4.26270272413376e-08,3.23026922420416e-09,7.64066944825004e-07,4.26270272413376e-08,2.29199395093642e-09,0,0,NaN,NaN,NaN,9.16021830119639e-07,2.97469147293048e-07,4.98727003361843e-07,5.6240887091982e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.12706356289414,1.12706356289414,1.12706356289414,4.47387622250998
4,1,1600,40,4.87568626308846,0.124071769563386,0.00307692307692308,39,4.56496904280731e-08,19.7040731098977,13.1961218311486,13.1961218311486,-6.50795127874916,8.07672221640426e-16,3.38843885741545e-16,37,1.32781305950402e-08,1.00621461100019e-09,3.23237109967067e-07,1.32781305950402e-08,7.13945986223104e-10,0,0,NaN,NaN,NaN,1.40572938116842e-07,4.56496904280731e-08,1.0762896995864e-07,1.21402099607583e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13916468430231,1.13916468430231,1.13916468430232,8.39958706579363
4,1,2500,50,4.87568626308846,0.0992574156507093,0.00226415094339623,53,3.88191922432078e-08,19.7040669017803,13.1961176734765,13.1961176734765,-6.50794922830376,6.73060396759963e-16,3.3884399250035e-16,52,3.95862898017185e-09,2.99984364956709e-10,1.32097872196368e-07,3.95862898017185e-09,2.12849787182831e-10,0,0,NaN,NaN,NaN,1.19539171840186e-07,3.88191922432077e-08,5.82215136102349e-08,6.56501189210191e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13477644527835,1.13477644527836,1.13477644527836,0.726357785672607
4,1,3600,60,4.87568626308846,0.0827145130422571,0.0017910447761194,67,9.2130951484435e-09,19.7040679650724,13.1961183855797,13.1961183855797,-6.50794957949277,5.38448288351642e-16,2.03306384529171e-16,65,1.57242396880974e-09,1.1915806776393e-10,6.6937543508061e-08,1.57242396880974e-09,8.45469754298143e-11,0,0,NaN,NaN,NaN,2.8370652817482e-08,9.21309514844349e-09,2.05705780187415e-08,2.31948694066638e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.14443065326957,1.14443065326957,1.14443065326957,7.88874852412091
4,1,4900,70,4.87568626308846,0.0708981540362217,0.00146341463414634,82,6.37518667450476e-09,19.7040762226108,13.1961239157806,13.1961239157806,-6.50795230683027,2.69224031349993e-16,1.35537532885337e-16,80,7.06004144035433e-10,5.3500872569949e-11,3.69184682824653e-08,7.06004144035433e-10,3.79608274887162e-11,0,0,NaN,NaN,NaN,1.96316525386507e-08,6.37518667450477e-09,1.20370554634874e-08,1.35725739750951e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.14069871390098,1.14069871390097,1.14069871390098,2.38865300642094
6,1,576,24,7.8116204478379,0.206786282605644,0.00210526315789474,57,3.77777686706628e-07,19.7040295129378,13.1960926335917,13.1960926335917,-6.5079368793461,1.34612334781463e-16,0,56,2.95477420308998e-09,2.23912811552138e-10,1.04792459154623e-07,2.95477420308998e-09,1.58873959507495e-10,0,0,NaN,NaN,NaN,1.16332004559071e-06,3.77777686706628e-07,1.20431018912903e-06,1.35821834560604e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13632075608609,1.13632075608609,1.13632075608609,NaN
