xi,exactStartup,N,sqrtN,fitRate,h,dt,nsteps,relerr,initialMass,finalMass,exactFinalMass,sourceIntegral,massRelError,balanceRelResidual,massCorrectionSteps,massCorrectionMaxAbs,massCorrectionMaxRelative,massCorrectionTotalAbs,massCorrectionFinalAbs,massCorrectionMaxPointShift,normalRMSAngle,normalMaxAngle,normalControlPointCount,normalControlPointFraction,normalControlFillDistance,finalAbsL2Error,finalRelL2Error,finalAbsLInfError,finalRelLInfError,maxAbsH1SemiError,maxRelH1SemiError,maxAbsH2SemiError,maxRelH2SemiError,maxAbsL2Error,maxRelL2Error,timeAbsL2L2Error,timeRelL2L2Error,numRearrangements,numPredictiveRearrangements,numThresholdRearrangements,numFixedRearrangements,initialQuality,finalQuality,maxQuality,localRate
2,1,576,24,2.89653518811512,0.14770448757546,0.0133333333333333,9,0.000121940076372759,10.0530762821111,9.40159215402718,9.40159215402718,-0.651484128083963,1.88942129194505e-16,1.6594393149563e-16,7,7.10256889036032e-06,7.22288285626876e-07,4.3883917319576e-05,5.42880534482038e-06,5.55172449437656e-07,0,0,NaN,NaN,NaN,0.000316947548759049,0.000121940076372759,0.000164883872206922,0.000185955663372711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13632075608609,1.13632075608609,1.13632075608609,NaN
2,1,1024,32,2.89653518811512,0.110778365681595,0.0109090909090909,11,5.36346929786564e-05,10.0530987639686,9.40161317896014,9.40161317896014,-0.651485585008478,0,1.65943560393356e-16,11,2.32416977574701e-06,2.35402561578101e-07,1.82029007795848e-05,1.7176004245556e-06,1.82258585579582e-07,0,0,NaN,NaN,NaN,0.000139408007467867,5.36346929786564e-05,7.3990370264676e-05,8.34381140764186e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.12706356289414,1.12706356289414,1.12706356289414,2.85500456817881
2,1,1600,40,2.89653518811512,0.0886226925452756,0.00923076923076923,13,2.90094163340667e-05,10.053098525458,9.40161295590611,9.40161295590611,-0.65148556955193,1.88941711143761e-16,3.3188712866076e-16,11,1.02296680282166e-06,1.03322421924878e-07,9.69251733273779e-06,7.37062768152441e-07,8.04003679186061e-08,0,0,NaN,NaN,NaN,7.54016591463063e-05,2.90094163340667e-05,3.97165183669834e-05,4.47989860044912e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13916468430231,1.13916468430231,1.13916468430231,2.75417162487556
2,1,2500,50,2.89653518811512,0.0708981540362212,0.008,15,1.48762144810996e-05,10.0530953580512,9.4016099937613,9.4016099937613,-0.651485364289856,5.66825312019644e-16,4.97830849841573e-16,13,4.08523675332617e-07,4.11778570662808e-08,4.50032350762797e-06,2.8279779051843e-07,3.21610791038102e-08,0,0,NaN,NaN,NaN,3.86664415145763e-05,1.48762144810996e-05,2.05576821716846e-05,2.31806800549129e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13477644527835,1.13477644527836,1.13477644527836,2.99294727827344
2,1,3600,60,2.89653518811512,0.0590817950301832,0.0075,16,9.05498354641358e-06,10.0530959005472,9.40161050110114,9.40161050110115,-0.651485399446008,1.88941760477335e-16,1.6594360765903e-16,15,2.15109627887955e-07,2.16643838209853e-08,2.49586038059135e-06,1.40868239739689e-07,1.69459014710874e-08,0,0,NaN,NaN,NaN,2.35358270586423e-05,9.05498354641357e-06,1.22462928481282e-05,1.3808613597017e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.14443065326957,1.14443065326957,1.14443065326957,2.72292716426438
2,1,4900,70,2.89653518811512,0.0506415385973011,0.00666666666666667,18,5.3319333897452e-06,10.0531001135769,9.40161444110784,9.40161444110784,-0.651485672469111,7.55766725184248e-16,6.63774152463075e-16,16,1.00303280348157e-07,1.00879221061264e-08,1.29425619910251e-06,6.11760029300967e-08,7.91053714201093e-09,0,0,NaN,NaN,NaN,1.38588340357364e-05,5.33193338974519e-06,7.49137377131781e-06,8.44701804313524e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.14069871390097,1.14069871390097,1.14069871390098,3.4356083616551
4,1,576,24,5.69347581210115,0.14770448757546,0.00387096774193548,31,4.73785413716331e-06,10.0530762821111,9.40159215402718,9.40159215402718,-0.651484128083963,0,0,29,1.42187417395689e-09,1.42343992647717e-10,1.78519528049037e-08,6.7926642088878e-10,1.12560195172571e-10,0,0,NaN,NaN,NaN,1.23146655293329e-05,4.73785413716332e-06,8.58900306288657e-06,9.68665850026213e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13632075608609,1.13632075608609,1.13632075608609,NaN
4,1,1024,32,5.69347581210115,0.110778365681595,0.00260869565217391,46,1.07939742365576e-06,10.0530987639686,9.40161317896014,9.40161317896014,-0.651485585008478,1.88941706661103e-16,0,45,4.18511447719538e-10,4.4514855029081e-11,1.03285007213572e-08,4.18511447719538e-10,3.15849148713426e-11,0,0,NaN,NaN,NaN,2.80558414229536e-06,1.07939742365576e-06,1.72526569974796e-06,1.94556285842007e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.12706356289414,1.12706356289414,1.12706356289414,5.14172246656381
4,1,1600,40,5.69347581210115,0.0886226925452756,0.0019672131147541,61,1.98389188522033e-07,10.053098525458,9.40161295590612,9.40161295590611,-0.65148556955193,1.13365026686256e-15,8.297178216519e-16,59,1.99088745489462e-10,2.11760201594108e-11,8.80094397359699e-09,1.99088745489462e-10,1.50251590784227e-11,0,0,NaN,NaN,NaN,5.15655806341887e-07,1.98389188522033e-07,4.1239418957506e-07,4.65167700662928e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13916468430231,1.13916468430231,1.13916468430232,7.59120088098395
4,1,2500,50,5.69347581210115,0.0708981540362212,0.00146341463414634,82,8.77959299926162e-08,10.0530953580512,9.40160999376131,9.4016099937613,-0.651485364289856,3.77883541346429e-16,3.31887233227716e-16,80,7.6708417395821e-11,8.15907248291485e-12,5.1509285725615e-09,7.6708417395821e-11,5.78915785115166e-12,0,0,NaN,NaN,NaN,2.28200272091425e-07,8.77959299926162e-08,1.40664455638984e-07,1.58612129229088e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.13477644527835,1.13477644527836,1.13477644527836,3.65332339249233
